Blocks: '[0:82:1996:5:1, -1:82:1997:5:1, 0:82:1997:5:1, 1:82:1997:5:1, -2:82:1998:5:1,
  -14:102:2054:160:4, 14:102:2054:95:1, 15:102:2054:95:1, 16:102:2054:95:4, -15:102:2055:160:4,
  -14:102:2055:160:1, -13:102:2055:160:4, -12:102:2055:160:4, -11:102:2055:95:1, 11:102:2055:95:4,
  12:102:2055:95:1, 13:102:2055:160:1, 14:102:2055:160:1, 15:102:2055:95:4, -14:102:2056:95:4,
  -13:102:2056:160:1, -12:102:2056:160:1, -11:102:2056:160:1, -10:102:2056:95:1, 10:102:2056:95:1,
  11:102:2056:95:4, 12:102:2056:160:1, 13:102:2056:95:4, 14:102:2056:160:4, -13:102:2057:160:1,
  -12:102:2057:95:1, -11:102:2057:160:4, -10:102:2057:95:1, -9:102:2057:95:1, -8:102:2057:95:1,
  8:102:2057:95:1, 9:102:2057:95:1, 10:102:2057:95:1, 11:102:2057:95:4, 12:102:2057:95:1,
  13:102:2057:160:4, -11:102:2058:95:1, -10:102:2058:95:1, -9:102:2058:95:1, -8:102:2058:95:1,
  0:102:2058:95:14, 8:102:2058:95:1, 9:102:2058:95:1, 10:102:2058:95:1, 11:102:2058:95:4,
  -9:102:2059:95:1, -8:102:2059:95:1, -7:102:2059:95:1, -6:102:2059:95:1, -5:102:2059:95:1,
  0:102:2059:95:14, 1:102:2059:95:14, 5:102:2059:95:1, 6:102:2059:95:1, 7:102:2059:95:1,
  8:102:2059:95:1, 9:102:2059:95:1, -8:102:2060:95:1, -7:102:2060:95:1, -6:102:2060:95:1,
  -5:102:2060:95:1, -4:102:2060:95:1, -3:102:2060:95:1, -1:102:2060:95:14, 0:102:2060:95:14,
  1:102:2060:95:14, 3:102:2060:95:1, 4:102:2060:95:1, 5:102:2060:95:1, 6:102:2060:95:1,
  7:102:2060:95:1, 8:102:2060:95:1, -7:102:2061:95:1, -6:102:2061:95:1, -5:102:2061:95:1,
  -4:102:2061:95:1, -3:102:2061:95:1, -2:102:2061:95:1, -1:102:2061:95:14, 0:102:2061:95:14,
  1:102:2061:95:14, 2:102:2061:95:1, 3:102:2061:95:1, 4:102:2061:95:1, 5:102:2061:95:1,
  6:102:2061:95:1, 7:102:2061:95:1, -4:102:2062:95:1, -3:102:2062:95:1, -2:102:2062:95:1,
  -1:102:2062:95:14, 0:102:2062:95:4, 1:102:2062:160:1, 2:102:2062:95:1, 3:102:2062:95:1,
  4:102:2062:95:1, -2:102:2063:95:1, -1:102:2063:95:1, 0:102:2063:160:4, 1:102:2063:160:1,
  2:102:2063:160:4, 0:102:2064:160:1, -1:103:1936:160:4, 0:103:1936:160:1, -3:103:1937:95:1,
  -2:103:1937:160:1, -1:103:1937:160:4, 0:103:1937:160:1, 1:103:1937:160:4, 2:103:1937:160:1,
  3:103:1937:95:1, -5:103:1938:95:1, -4:103:1938:95:1, -3:103:1938:95:1, -2:103:1938:95:1,
  -1:103:1938:95:1, 0:103:1938:160:4, 1:103:1938:160:4, 2:103:1938:95:1, 3:103:1938:95:1,
  4:103:1938:95:1, 5:103:1938:95:1, -8:103:1939:95:1, -7:103:1939:95:1, -6:103:1939:95:1,
  -5:103:1939:95:1, -4:103:1939:95:1, -3:103:1939:95:1, -2:103:1939:95:1, -1:103:1939:95:14,
  0:103:1939:95:14, 1:103:1939:95:14, 2:103:1939:95:1, 3:103:1939:95:1, 4:103:1939:95:1,
  5:103:1939:95:1, 6:103:1939:95:1, 7:103:1939:95:1, 8:103:1939:95:1, -9:103:1940:95:1,
  -8:103:1940:95:1, -7:103:1940:95:1, -6:103:1940:95:1, -5:103:1940:95:1, -4:103:1940:95:1,
  -1:103:1940:95:14, 0:103:1940:95:14, 1:103:1940:95:14, 4:103:1940:95:1, 5:103:1940:95:1,
  6:103:1940:95:1, 7:103:1940:95:1, 8:103:1940:95:1, 9:103:1940:95:1, -10:103:1941:95:1,
  -9:103:1941:95:1, -8:103:1941:95:1, -7:103:1941:95:1, -6:103:1941:95:1, -1:103:1941:95:14,
  0:103:1941:95:14, 6:103:1941:95:1, 7:103:1941:95:1, 8:103:1941:95:1, 9:103:1941:95:1,
  10:103:1941:95:1, -11:103:1942:160:4, -10:103:1942:160:1, -9:103:1942:95:1, -8:103:1942:95:1,
  0:103:1942:95:14, 8:103:1942:95:1, 9:103:1942:95:1, 10:103:1942:95:1, 11:103:1942:95:1,
  -12:103:1943:95:1, -11:103:1943:160:4, -10:103:1943:160:1, -9:103:1943:95:1, 9:103:1943:95:1,
  10:103:1943:160:1, 11:103:1943:160:4, 12:103:1943:160:4, -13:103:1944:95:1, -12:103:1944:95:1,
  -11:103:1944:160:1, -10:103:1944:160:4, 10:103:1944:95:1, 11:103:1944:160:1, 12:103:1944:160:4,
  13:103:1944:160:1, -14:103:1945:160:4, -13:103:1945:160:1, -12:103:1945:160:1, 12:103:1945:160:4,
  13:103:1945:160:4, 14:103:1945:160:1, -5:103:1947:160:4, -3:103:1948:160:4, -31:103:1954:160:4,
  21:103:1954:160:4, -29:103:1955:160:4, 23:103:1955:160:4, 46:103:1969:160:4, 45:103:1971:160:4,
  -45:103:1977:160:4, -46:103:1979:160:4, -55:103:1986:160:1, 55:103:1986:160:4, -56:103:1987:160:1,
  -55:103:1987:160:4, 55:103:1987:160:1, 56:103:1987:95:1, -57:103:1988:160:4, -56:103:1988:160:4,
  -55:103:1988:160:4, 55:103:1988:160:1, 56:103:1988:95:1, 57:103:1988:95:1, -58:103:1989:95:1,
  -57:103:1989:160:4, -56:103:1989:160:1, 56:103:1989:160:1, 57:103:1989:160:4, 58:103:1989:160:4,
  -59:103:1990:95:1, -58:103:1990:95:1, -57:103:1990:160:1, -56:103:1990:95:1, 56:103:1990:160:4,
  57:103:1990:160:1, 58:103:1990:160:1, 59:103:1990:95:1, -60:103:1991:95:1, -59:103:1991:95:1,
  -58:103:1991:95:1, -57:103:1991:95:1, -3:103:1991:126:11, -1:103:1991:126:11, 1:103:1991:126:11,
  3:103:1991:126:11, 57:103:1991:95:1, 58:103:1991:95:1, 59:103:1991:95:1, 60:103:1991:95:1,
  -61:103:1992:95:1, -60:103:1992:95:1, -59:103:1992:95:1, -58:103:1992:95:1, -4:103:1992:126:11,
  -3:103:1992:5:1, -2:103:1992:5:1, -1:103:1992:134:5, 1:103:1992:134:4, 2:103:1992:5:1,
  3:103:1992:5:1, 4:103:1992:126:11, 58:103:1992:95:1, 59:103:1992:95:1, 60:103:1992:95:1,
  61:103:1992:95:1, -61:103:1993:95:1, -60:103:1993:95:1, -59:103:1993:95:1, -6:103:1993:126:11,
  -5:103:1993:126:9, -4:103:1993:134, -3:103:1993:162:1, -2:103:1993:162:1, -1:103:1993:125:1,
  0:103:1993:126:9, 1:103:1993:125:1, 2:103:1993:162:1, 3:103:1993:162:1, 4:103:1993:134:1,
  5:103:1993:126:9, 6:103:1993:126:11, 59:103:1993:95:1, 60:103:1993:95:1, 61:103:1993:95:1,
  -61:103:1994:95:1, -60:103:1994:95:1, -59:103:1994:95:1, -7:103:1994:126:11, -6:103:1994:5:1,
  -5:103:1994:134:1, -3:103:1994:134:7, -2:103:1994:134:7, -1:103:1994:126:9, 1:103:1994:126:9,
  2:103:1994:134:7, 3:103:1994:134:7, 5:103:1994:134, 6:103:1994:5:1, 7:103:1994:126:11,
  59:103:1994:95:1, 60:103:1994:95:1, 61:103:1994:95:1, -62:103:1995:95:1, -61:103:1995:95:1,
  -60:103:1995:95:1, -7:103:1995:126:9, -6:103:1995:134:3, 6:103:1995:134:3, 7:103:1995:126:9,
  53:103:1995:160:4, 60:103:1995:95:1, 61:103:1995:95:1, 62:103:1995:95:1, -62:103:1996:95:1,
  -61:103:1996:95:1, -60:103:1996:95:1, -8:103:1996:126:11, -7:103:1996:134:2, 7:103:1996:134:2,
  8:103:1996:126:11, 60:103:1996:95:1, 61:103:1996:95:1, 62:103:1996:95:1, -63:103:1997:95:1,
  -62:103:1997:95:1, -61:103:1997:95:1, -9:103:1997:126:11, -8:103:1997:5:1, -7:103:1997:162:1,
  -6:103:1997:134:5, 6:103:1997:134:4, 7:103:1997:162:1, 8:103:1997:5:1, 9:103:1997:126:11,
  52:103:1997:160:4, 61:103:1997:95:1, 62:103:1997:95:1, 63:103:1997:95:1, -63:103:1998:160:1,
  -62:103:1998:95:1, -61:103:1998:95:1, -8:103:1998:5:1, -7:103:1998:162:1, -6:103:1998:134:5,
  6:103:1998:134:4, 7:103:1998:162:1, 8:103:1998:5:1, 61:103:1998:95:1, 62:103:1998:95:1,
  63:103:1998:160:1, -63:103:1999:160:4, -62:103:1999:160:4, -61:103:1999:95:14, -60:103:1999:95:14,
  -9:103:1999:126:11, -8:103:1999:134:7, -7:103:1999:125:1, -6:103:1999:126:9, 6:103:1999:126:9,
  7:103:1999:125:1, 8:103:1999:134:7, 9:103:1999:126:11, 59:103:1999:95:14, 60:103:1999:95:14,
  61:103:1999:95:14, 62:103:1999:95:1, 63:103:1999:160:4, 64:103:1999:160:4, -64:103:2000:160:1,
  -63:103:2000:160:1, -62:103:2000:160:4, -61:103:2000:95:14, -60:103:2000:95:14,
  -59:103:2000:95:14, -58:103:2000:95:14, -7:103:2000:126:9, 7:103:2000:126:9, 58:103:2000:95:14,
  59:103:2000:95:14, 60:103:2000:95:14, 61:103:2000:95:14, 62:103:2000:160:4, 63:103:2000:160:1,
  64:103:2000:160:1, -64:103:2001:160:4, -63:103:2001:160:4, -62:103:2001:95:1, -61:103:2001:95:14,
  -60:103:2001:95:14, -59:103:2001:95:14, -9:103:2001:126:11, -8:103:2001:134:6, -7:103:2001:125:1,
  -6:103:2001:126:9, 6:103:2001:126:9, 7:103:2001:125:1, 8:103:2001:134:6, 9:103:2001:126:11,
  60:103:2001:95:14, 61:103:2001:95:14, 62:103:2001:160:4, 63:103:2001:160:4, -63:103:2002:160:1,
  -62:103:2002:95:1, -61:103:2002:95:1, -8:103:2002:5:1, -7:103:2002:162:1, -6:103:2002:134:5,
  6:103:2002:134:4, 7:103:2002:162:1, 8:103:2002:5:1, 61:103:2002:95:1, 62:103:2002:95:1,
  63:103:2002:160:1, -63:103:2003:95:1, -62:103:2003:95:1, -61:103:2003:95:1, -52:103:2003:160:4,
  -9:103:2003:126:11, -8:103:2003:5:1, -7:103:2003:162:1, -6:103:2003:134:5, 6:103:2003:134:4,
  7:103:2003:162:1, 8:103:2003:5:1, 9:103:2003:126:11, 61:103:2003:95:1, 62:103:2003:95:1,
  63:103:2003:95:1, -62:103:2004:95:1, -61:103:2004:95:1, -60:103:2004:95:1, -8:103:2004:126:11,
  -7:103:2004:134:3, 7:103:2004:134:3, 8:103:2004:126:11, 60:103:2004:95:1, 61:103:2004:95:1,
  62:103:2004:95:1, -62:103:2005:95:1, -61:103:2005:95:1, -60:103:2005:95:1, -53:103:2005:160:4,
  -7:103:2005:126:9, -6:103:2005:134:2, 6:103:2005:134:2, 7:103:2005:126:9, 60:103:2005:95:1,
  61:103:2005:95:1, 62:103:2005:95:1, -61:103:2006:95:1, -60:103:2006:95:1, -59:103:2006:95:1,
  -7:103:2006:126:11, -6:103:2006:5:1, -5:103:2006:134:1, -3:103:2006:134:6, -2:103:2006:134:6,
  -1:103:2006:126:9, 1:103:2006:126:9, 2:103:2006:134:6, 3:103:2006:134:6, 5:103:2006:134,
  6:103:2006:5:1, 7:103:2006:126:11, 59:103:2006:95:1, 60:103:2006:95:1, 61:103:2006:95:1,
  -61:103:2007:95:1, -60:103:2007:95:1, -59:103:2007:95:1, -6:103:2007:126:11, -5:103:2007:126:9,
  -4:103:2007:134, -3:103:2007:162:1, -2:103:2007:134:6, -1:103:2007:125:1, 0:103:2007:126:9,
  1:103:2007:125:1, 2:103:2007:162:1, 3:103:2007:162:1, 4:103:2007:134:1, 5:103:2007:126:9,
  6:103:2007:126:11, 59:103:2007:95:1, 60:103:2007:95:1, 61:103:2007:95:1, -61:103:2008:95:1,
  -60:103:2008:95:1, -59:103:2008:95:1, -58:103:2008:95:1, -4:103:2008:126:11, -3:103:2008:5:1,
  -2:103:2008:5:1, -1:103:2008:134:5, 1:103:2008:134:4, 2:103:2008:5:1, 3:103:2008:5:1,
  4:103:2008:126:11, 58:103:2008:95:1, 59:103:2008:95:1, 60:103:2008:95:1, 61:103:2008:95:1,
  -60:103:2009:95:1, -59:103:2009:95:1, -58:103:2009:95:1, -57:103:2009:95:1, -3:103:2009:126:11,
  -1:103:2009:126:11, 1:103:2009:126:11, 3:103:2009:126:11, 57:103:2009:95:1, 58:103:2009:95:1,
  59:103:2009:95:1, 60:103:2009:95:1, -59:103:2010:95:1, -58:103:2010:160:1, -57:103:2010:160:1,
  -56:103:2010:160:4, 56:103:2010:95:1, 57:103:2010:160:1, 58:103:2010:95:1, 59:103:2010:95:1,
  -58:103:2011:160:4, -57:103:2011:160:4, -56:103:2011:160:1, 56:103:2011:160:1, 57:103:2011:160:4,
  58:103:2011:95:1, -57:103:2012:95:1, -56:103:2012:95:1, -55:103:2012:160:1, 55:103:2012:160:4,
  56:103:2012:160:4, 57:103:2012:160:4, -56:103:2013:95:1, -55:103:2013:160:1, 55:103:2013:160:4,
  56:103:2013:160:1, -55:103:2014:160:4, 55:103:2014:160:1, 46:103:2021:160:4, 45:103:2023:160:4,
  -45:103:2029:160:4, -46:103:2031:160:4, -23:103:2045:160:4, 29:103:2045:160:4, -21:103:2046:160:4,
  31:103:2046:160:4, 3:103:2052:160:4, 5:103:2053:160:4, -14:103:2055:160:1, -13:103:2055:160:4,
  -12:103:2055:160:4, 12:103:2055:160:1, 13:103:2055:160:1, 14:103:2055:160:4, -13:103:2056:160:1,
  -12:103:2056:160:4, -11:103:2056:160:1, -10:103:2056:95:1, 10:103:2056:160:4, 11:103:2056:160:1,
  12:103:2056:95:1, 13:103:2056:95:1, -12:103:2057:160:4, -11:103:2057:160:4, -10:103:2057:160:1,
  -9:103:2057:95:1, 9:103:2057:95:1, 10:103:2057:160:1, 11:103:2057:160:4, 12:103:2057:95:1,
  -11:103:2058:95:1, -10:103:2058:95:1, -9:103:2058:95:1, -8:103:2058:95:1, 0:103:2058:95:14,
  8:103:2058:95:1, 9:103:2058:95:1, 10:103:2058:160:1, 11:103:2058:160:4, -10:103:2059:95:1,
  -9:103:2059:95:1, -8:103:2059:95:1, -7:103:2059:95:1, -6:103:2059:95:1, 0:103:2059:95:14,
  1:103:2059:95:14, 6:103:2059:95:1, 7:103:2059:95:1, 8:103:2059:95:1, 9:103:2059:95:1,
  10:103:2059:95:1, -9:103:2060:95:1, -8:103:2060:95:1, -7:103:2060:95:1, -6:103:2060:95:1,
  -5:103:2060:95:1, -4:103:2060:95:1, -1:103:2060:95:14, 0:103:2060:95:14, 1:103:2060:95:14,
  4:103:2060:95:1, 5:103:2060:95:1, 6:103:2060:95:1, 7:103:2060:95:1, 8:103:2060:95:1,
  9:103:2060:95:1, -8:103:2061:95:1, -7:103:2061:95:1, -6:103:2061:95:1, -5:103:2061:95:1,
  -4:103:2061:95:1, -3:103:2061:95:1, -2:103:2061:95:1, -1:103:2061:95:14, 0:103:2061:95:14,
  1:103:2061:95:14, 2:103:2061:95:1, 3:103:2061:95:1, 4:103:2061:95:1, 5:103:2061:95:1,
  6:103:2061:95:1, 7:103:2061:95:1, 8:103:2061:95:1, -5:103:2062:95:1, -4:103:2062:95:1,
  -3:103:2062:95:1, -2:103:2062:95:1, -1:103:2062:160:4, 0:103:2062:160:4, 1:103:2062:95:1,
  2:103:2062:95:1, 3:103:2062:95:1, 4:103:2062:95:1, 5:103:2062:95:1, -3:103:2063:95:1,
  -2:103:2063:160:1, -1:103:2063:160:4, 0:103:2063:160:1, 1:103:2063:160:4, 2:103:2063:160:1,
  3:103:2063:95:1, 0:103:2064:160:1, 1:103:2064:160:4, -1:104:1936:160:1, 0:104:1936:160:1,
  1:104:1936:160:1, -4:104:1937:95:1, -3:104:1937:95:1, -2:104:1937:160:4, -1:104:1937:160:4,
  0:104:1937:160:4, 1:104:1937:160:1, 2:104:1937:95:1, 3:104:1937:95:1, 4:104:1937:95:1,
  -5:104:1938:95:1, -4:104:1938:95:1, -3:104:1938:95:1, -2:104:1938:95:1, -1:104:1938:160:4,
  0:104:1938:160:1, 1:104:1938:160:1, 2:104:1938:95:1, 3:104:1938:95:1, 4:104:1938:95:1,
  5:104:1938:95:1, -8:104:1939:95:1, -7:104:1939:95:1, -6:104:1939:95:1, -5:104:1939:95:1,
  -4:104:1939:95:1, -3:104:1939:95:1, -2:104:1939:95:1, -1:104:1939:95:1, 0:104:1939:95:14,
  1:104:1939:95:14, 2:104:1939:95:1, 3:104:1939:95:1, 4:104:1939:95:1, 5:104:1939:95:1,
  6:104:1939:95:1, 7:104:1939:95:1, 8:104:1939:95:1, -9:104:1940:95:1, -8:104:1940:95:1,
  -7:104:1940:95:1, -6:104:1940:95:1, -5:104:1940:95:1, -4:104:1940:95:1, -1:104:1940:95:14,
  0:104:1940:95:14, 1:104:1940:95:14, 4:104:1940:95:1, 5:104:1940:95:1, 6:104:1940:95:1,
  7:104:1940:95:1, 8:104:1940:95:1, 9:104:1940:95:1, -10:104:1941:160:4, -9:104:1941:160:1,
  -8:104:1941:95:1, -7:104:1941:95:1, -1:104:1941:95:14, 0:104:1941:95:14, 1:104:1941:95:14,
  7:104:1941:95:1, 8:104:1941:95:1, 9:104:1941:160:4, 10:104:1941:160:4, -11:104:1942:160:1,
  -10:104:1942:95:1, -9:104:1942:95:1, -1:104:1942:95:14, 0:104:1942:95:14, 9:104:1942:95:1,
  10:104:1942:160:1, 11:104:1942:160:4, -12:104:1943:160:4, -11:104:1943:160:1, -10:104:1943:95:4,
  -9:104:1943:95:1, 9:104:1943:160:1, 10:104:1943:160:4, 11:104:1943:160:4, 12:104:1943:160:1,
  -12:104:1944:160:4, -11:104:1944:95:1, 11:104:1944:160:1, 12:104:1944:160:4, -57:104:1988:160:1,
  -56:104:1988:160:4, 56:104:1988:160:4, 57:104:1988:160:4, -58:104:1989:160:4, -57:104:1989:160:4,
  -56:104:1989:160:1, 56:104:1989:95:1, 57:104:1989:160:1, 58:104:1989:160:1, -59:104:1990:160:4,
  -58:104:1990:160:1, -57:104:1990:160:4, 57:104:1990:95:4, 58:104:1990:95:1, 59:104:1990:160:4,
  -60:104:1991:95:1, -59:104:1991:160:4, -58:104:1991:95:1, -57:104:1991:160:1, -4:104:1991:126:3,
  -3:104:1991:125:3, -2:104:1991:126:3, -1:104:1991:125:3, 0:104:1991:136:2, 1:104:1991:125:3,
  2:104:1991:126:3, 3:104:1991:125:3, 4:104:1991:126:3, 57:104:1991:95:1, 58:104:1991:95:1,
  59:104:1991:160:1, 60:104:1991:95:1, -61:104:1992:95:1, -60:104:1992:95:1, -59:104:1992:95:1,
  -5:104:1992:126:3, -4:104:1992:125:3, -3:104:1992:159:14, -2:104:1992:159:14, -1:104:1992:5:1,
  0:104:1992:5:1, 1:104:1992:5:1, 2:104:1992:159:14, 3:104:1992:159:14, 4:104:1992:125:3,
  5:104:1992:126:3, 59:104:1992:95:1, 60:104:1992:95:1, 61:104:1992:95:1, -61:104:1993:95:1,
  -60:104:1993:95:1, -59:104:1993:95:1, -7:104:1993:125:3, -6:104:1993:126:3, -5:104:1993:159:14,
  -4:104:1993:5:1, -3:104:1993:5:1, -2:104:1993:5:1, -1:104:1993:5:1, 0:104:1993:5:1,
  1:104:1993:5:1, 2:104:1993:5:1, 3:104:1993:5:1, 4:104:1993:5:1, 5:104:1993:159:14,
  6:104:1993:126:3, 7:104:1993:125:3, 59:104:1993:95:1, 60:104:1993:95:1, 61:104:1993:95:1,
  -61:104:1994:95:1, -60:104:1994:95:1, -7:104:1994:126:3, -6:104:1994:159:14, -5:104:1994:5:1,
  -4:104:1994:126:1, -3:104:1994:5:1, -2:104:1994:5:1, -1:104:1994:126:1, 0:104:1994:134:7,
  1:104:1994:126:1, 2:104:1994:5:1, 3:104:1994:5:1, 4:104:1994:126:1, 5:104:1994:5:1,
  6:104:1994:159:14, 7:104:1994:126:3, 60:104:1994:95:1, 61:104:1994:95:1, -62:104:1995:95:1,
  -61:104:1995:95:1, -60:104:1995:95:1, -8:104:1995:126:3, -7:104:1995:159:14, -6:104:1995:5:1,
  -5:104:1995:126:9, 5:104:1995:126:9, 6:104:1995:5:1, 7:104:1995:159:14, 8:104:1995:126:3,
  60:104:1995:95:1, 61:104:1995:95:1, 62:104:1995:95:1, -63:104:1996:95:1, -62:104:1996:95:1,
  -61:104:1996:95:1, -60:104:1996:95:1, -9:104:1996:126:3, -8:104:1996:125:3, -7:104:1996:5:1,
  -6:104:1996:126:1, 6:104:1996:126:1, 7:104:1996:5:1, 8:104:1996:125:3, 9:104:1996:126:3,
  60:104:1996:95:1, 61:104:1996:95:1, 62:104:1996:95:1, 63:104:1996:95:1, -63:104:1997:95:1,
  -62:104:1997:95:1, -61:104:1997:95:1, -9:104:1997:125:3, -8:104:1997:159:14, -7:104:1997:5:1,
  -6:104:1997:5:1, 6:104:1997:5:1, 7:104:1997:5:1, 8:104:1997:159:14, 9:104:1997:125:3,
  61:104:1997:95:1, 62:104:1997:95:1, 63:104:1997:95:1, -63:104:1998:95:1, -62:104:1998:95:1,
  -61:104:1998:95:1, -9:104:1998:126:3, -8:104:1998:159:14, -7:104:1998:5:1, -6:104:1998:5:1,
  6:104:1998:5:1, 7:104:1998:5:1, 8:104:1998:159:14, 9:104:1998:126:3, 61:104:1998:95:1,
  62:104:1998:95:1, 63:104:1998:160:4, -64:104:1999:160:1, -63:104:1999:160:1, -62:104:1999:160:1,
  -61:104:1999:95:14, -60:104:1999:95:14, -59:104:1999:95:14, -9:104:1999:125:3, -8:104:1999:5:1,
  -7:104:1999:5:1, -6:104:1999:126:1, 6:104:1999:126:1, 7:104:1999:5:1, 8:104:1999:5:1,
  9:104:1999:125:3, 58:104:1999:95:14, 59:104:1999:95:14, 60:104:1999:95:14, 61:104:1999:95:1,
  62:104:1999:160:4, 63:104:1999:160:4, 64:104:1999:160:1, -64:104:2000:160:1, -63:104:2000:160:4,
  -62:104:2000:160:1, -61:104:2000:95:14, -60:104:2000:95:14, -59:104:2000:95:14,
  -58:104:2000:95:14, -9:104:2000:136, -8:104:2000:5:1, -7:104:2000:5:1, -6:104:2000:134:5,
  6:104:2000:134:4, 7:104:2000:5:1, 8:104:2000:5:1, 9:104:2000:136:1, 58:104:2000:95:14,
  59:104:2000:95:14, 60:104:2000:95:14, 61:104:2000:95:14, 62:104:2000:160:1, 63:104:2000:160:4,
  64:104:2000:160:1, -64:104:2001:160:1, -63:104:2001:160:4, -62:104:2001:160:4, -61:104:2001:95:1,
  -60:104:2001:95:14, -59:104:2001:95:14, -58:104:2001:95:14, -9:104:2001:125:3, -8:104:2001:5:1,
  -7:104:2001:5:1, -6:104:2001:126:1, 6:104:2001:126:1, 7:104:2001:5:1, 8:104:2001:5:1,
  9:104:2001:125:3, 59:104:2001:95:14, 60:104:2001:95:14, 61:104:2001:95:14, 62:104:2001:160:1,
  63:104:2001:160:1, 64:104:2001:160:1, -63:104:2002:160:4, -62:104:2002:95:1, -61:104:2002:95:1,
  -9:104:2002:126:3, -8:104:2002:159:14, -7:104:2002:5:1, -6:104:2002:5:1, 6:104:2002:5:1,
  7:104:2002:5:1, 8:104:2002:159:14, 9:104:2002:126:3, 61:104:2002:95:1, 62:104:2002:95:1,
  63:104:2002:95:1, -63:104:2003:95:1, -62:104:2003:95:1, -61:104:2003:95:1, -9:104:2003:125:3,
  -8:104:2003:159:14, -7:104:2003:5:1, -6:104:2003:5:1, 6:104:2003:5:1, 7:104:2003:5:1,
  8:104:2003:159:14, 9:104:2003:125:3, 61:104:2003:95:1, 62:104:2003:95:1, 63:104:2003:95:1,
  -63:104:2004:95:1, -62:104:2004:95:1, -61:104:2004:95:1, -60:104:2004:95:1, -9:104:2004:126:3,
  -8:104:2004:125:3, -7:104:2004:5:1, -6:104:2004:126:1, 6:104:2004:126:1, 7:104:2004:5:1,
  8:104:2004:125:3, 9:104:2004:126:3, 60:104:2004:95:1, 61:104:2004:95:1, 62:104:2004:95:1,
  63:104:2004:95:1, -62:104:2005:95:1, -61:104:2005:95:1, -60:104:2005:95:1, -8:104:2005:126:3,
  -7:104:2005:159:14, -6:104:2005:5:1, -5:104:2005:126:9, 5:104:2005:126:9, 6:104:2005:5:1,
  7:104:2005:159:14, 8:104:2005:126:3, 60:104:2005:95:1, 61:104:2005:95:1, 62:104:2005:95:1,
  -61:104:2006:95:1, -60:104:2006:95:1, -7:104:2006:126:3, -6:104:2006:159:14, -5:104:2006:5:1,
  -4:104:2006:126:1, -3:104:2006:5:1, -2:104:2006:5:1, -1:104:2006:126:1, 0:104:2006:134:6,
  1:104:2006:126:1, 2:104:2006:5:1, 3:104:2006:5:1, 4:104:2006:126:1, 5:104:2006:5:1,
  6:104:2006:159:14, 7:104:2006:126:3, 60:104:2006:95:1, 61:104:2006:95:1, -61:104:2007:95:1,
  -60:104:2007:95:1, -59:104:2007:95:1, -7:104:2007:125:3, -6:104:2007:126:3, -5:104:2007:159:14,
  -4:104:2007:5:1, -3:104:2007:5:1, -2:104:2007:5:1, -1:104:2007:5:1, 0:104:2007:5:1,
  1:104:2007:5:1, 2:104:2007:5:1, 3:104:2007:5:1, 4:104:2007:5:1, 5:104:2007:159:14,
  6:104:2007:126:3, 7:104:2007:125:3, 59:104:2007:95:1, 60:104:2007:95:1, 61:104:2007:95:1,
  -61:104:2008:95:1, -60:104:2008:95:1, -59:104:2008:95:1, -5:104:2008:126:3, -4:104:2008:125:3,
  -3:104:2008:159:14, -2:104:2008:159:14, -1:104:2008:5:1, 0:104:2008:5:1, 1:104:2008:5:1,
  2:104:2008:159:14, 3:104:2008:159:14, 4:104:2008:125:3, 5:104:2008:126:3, 59:104:2008:95:1,
  60:104:2008:95:1, 61:104:2008:95:1, -60:104:2009:95:1, -59:104:2009:160:1, -58:104:2009:95:1,
  -57:104:2009:95:1, -4:104:2009:126:3, -3:104:2009:125:3, -2:104:2009:126:3, -1:104:2009:125:3,
  0:104:2009:136:3, 1:104:2009:125:3, 2:104:2009:126:3, 3:104:2009:125:3, 4:104:2009:126:3,
  57:104:2009:160:1, 58:104:2009:95:1, 59:104:2009:160:4, 60:104:2009:95:1, -59:104:2010:160:4,
  -58:104:2010:95:1, -57:104:2010:95:4, 57:104:2010:160:4, 58:104:2010:160:1, 59:104:2010:160:4,
  -58:104:2011:160:1, -57:104:2011:160:1, -56:104:2011:95:1, 56:104:2011:160:1, 57:104:2011:160:4,
  58:104:2011:160:4, -57:104:2012:160:4, -56:104:2012:160:4, 56:104:2012:160:4, 57:104:2012:160:1,
  -12:104:2056:160:4, -11:104:2056:160:1, 11:104:2056:95:1, 12:104:2056:160:4, -12:104:2057:160:1,
  -11:104:2057:160:4, -10:104:2057:160:4, -9:104:2057:160:1, 9:104:2057:95:1, 10:104:2057:95:4,
  11:104:2057:160:1, 12:104:2057:160:4, -11:104:2058:160:4, -10:104:2058:160:1, -9:104:2058:95:1,
  0:104:2058:95:14, 1:104:2058:95:14, 9:104:2058:95:1, 10:104:2058:95:1, 11:104:2058:160:1,
  -10:104:2059:160:4, -9:104:2059:160:4, -8:104:2059:95:1, -7:104:2059:95:1, -1:104:2059:95:14,
  0:104:2059:95:14, 1:104:2059:95:14, 7:104:2059:95:1, 8:104:2059:95:1, 9:104:2059:160:1,
  10:104:2059:160:4, -9:104:2060:95:1, -8:104:2060:95:1, -7:104:2060:95:1, -6:104:2060:95:1,
  -5:104:2060:95:1, -4:104:2060:95:1, -1:104:2060:95:14, 0:104:2060:95:14, 1:104:2060:95:14,
  4:104:2060:95:1, 5:104:2060:95:1, 6:104:2060:95:1, 7:104:2060:95:1, 8:104:2060:95:1,
